objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
b9-234,,b9-234.pdf,A Proposal to Study Snag Habitat in the Idaho Primitive Area Cover Page,"Rieckelman, Ed","A cover page for ""A Proposal to Study Snag Habitat in the Idaho Primitive Area,"" submitted by Ed Rieckelman.",1977-04-01,1 April 1977,proposals; habitats;wilderness,,,,Taylor Ranch,b9-234,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-234.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-234_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-234_th.jpg
b7-smallmammals-012,,b7-SmallMammals-012.pdf,A Proposal to Study the Columbian Ground Squirrel (Citellus columbianus) in the Idaho Primitive Area During the Summer of 1976,"Peck, Stephen A.;Ehrenreich, John H.","A letter attached to a research proposal to study Columbian ground squirrels, letting the author of the proposal know that it has been accepted for funding.",1976-05-06,6 May 1976,proposals; methodology; correspondence; population; Sciuridae (family),45.1028,-114.8517,,Taylor Ranch,b7-SmallMammals-012,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-SmallMammals-012.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-smallmammals-012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-smallmammals-012_th.jpg
b7-anthropology-010,,b7-Anthropology-010.pdf,A Proposal to Study the Importance of Snags to Species Abundances of Birds in a Burned and Unburned Lodgepole Pine Community,"Payne, Lisa","Study proposal on the importance of snags, a type of dead tree often used by birds, on the abundance of bird populations in the Chamberlain Basin area, Idaho.",1981-03-26,26 March 1981,proposals;research paper; environmental sciences; Aves (class); trees,45.36591156,-115.2009782,,Taylor Ranch,b7-Anthropology-010,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Anthropology-010.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-anthropology-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-anthropology-010_th.jpg
b2-beaver-002,,b2-Beaver-002.pdf,A Proposed Study of the Beaver Population and Habitat Along Big Creek and Its Tributaries in the Idaho Primitive Area,"Feldman, Robert M.",proposal to study Big Creek beaver population within the Idaho Primitive Area,1977-03-35,35 March 1977,beavers; Taylor Ranch Big Creek; Monumental Creek; Idaho Primitive Area,45.160031,-115.130186,,,b2-Beaver-002,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-Beaver-002.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-beaver-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-beaver-002_th.jpg
b9-243,,b9-243.pdf,A Proposed Study of the Beaver Population and Habitat Along Big Creek and its Tributaries in the Idaho Primitive Area Cover Page,"Feldman, Robert M.","A cover page for ""A Proposed Study of the Beaver Population and Habitat Along Big Creek and its Tributaries in the Idaho Primitive Area,"" submitted by Robert M. Feldman.",1977-03-25,25 March 1977,proposals; habitat; beavers (animals),,,,Taylor Ranch,b9-243,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-243.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-243_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-243_th.jpg
b06-wildernessrecreation03,,b06-WildernessRecreation03.pdf,A Quality Life in Idaho,"Knight, Richard R.;Hornocker, Maurice G.",A paper examining the results of a survey of more than 500 citizens of Idaho.,1971-03,March 1971,land use; ecology; public land,,,,Taylor Ranch,b06-WildernessRecreation03,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessRecreation03.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessrecreation03_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessrecreation03_th.jpg
b10-053,,b10-053.pdf,"A Recent Radiocarbon Date for Intermountain Flatbottom Pottery from the Middle Fork of the Salmon River, Idaho","Stoddard, Steven E.","Research Paper about the radiocarbon dating of Native American Intermountain Flatbottom pottery shards found on the Middle Fork of the Salmon River, Idaho.",1996-10,October 1996,native americans; archaeological objects; radiocarbon dating; pottery (visual works),45.16494967,-114.7225095,,Taylor Ranch,b10-053,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-053.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-053_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-053_th.jpg
b4-correspondence-212,,b4-Correspondence-212.pdf,A Report of Impressions and Observations on Visit to the Taylor Ranch,"Garrett, James W.",A Report of Impressions and Observations on Visit to the Taylor Ranch,1971-04-27,27 April 1971,Arlow Lewis; electricity; sewage; firewood; horses,,,Jim,,b4-Correspondence-212,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,report,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Correspondence-212.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-correspondence-212_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-correspondence-212_th.jpg
b06-wildernessinstitutesandareas07,,b06-WildernessInstitutesAndAreas07.pdf,A Review Of The Idaho And Salmon River Breaks Primitive Areas And Recommendations For Classification Or Declassification,"Frykman, Joel L.",Copy of a talk given by Joel Frykman given in Sandpoint.,1973-10-04,4 October 1973,ecology; land use,,,,Taylor Ranch,b06-WildernessInstitutesAndAreas07,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,lecture,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessInstitutesAndAreas07.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessinstitutesandareas07_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessinstitutesandareas07_th.jpg
b7-weeds-011,,b7-Weeds-011.pdf,A Study of the Range and Density of Spotted Knapweed and Rush Skeletonweed Along Lower Big Creek Summary,"Campbell, Eliza",A brief profile of researcher Eliza Campbell and a slideshow summary of her research at Taylor Ranch.,2012,2012,research paperers; summaries;Centaurea (genus); field notes,45.1028,-114.8517,,Taylor Ranch,b7-Weeds-011,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-011.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-011_th.jpg
twrs350,,SHARDLOW__2005_Fisher.pdf,"A survey and habitat evaluation of American Marten and Fisher in the Frank Church Wilderness, Idaho","Shardlow, M.",Research Report,2005,2005,Frank Church River of No Return Wilderness,,,,,"SHARDLOW, 2005 Fisher","In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/SHARDLOW__2005_Fisher.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/shardlow__2005_fisher_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/shardlow__2005_fisher_th.jpg
b3-wildlife-011,,b3-Wildlife-011.pdf,A Survey of the Coyote's Diet in the Idaho Primitive Area,"Keller, Christian J. ","Proposal to Study funded by: The Wilderness Research Center and Taylor Ranch Field Station College of Forestry, Wildlife and Range Sciences",1981-03-27,27 March 1981,coyote; Idaho Primitive Area,,,,,b3-Wildlife-011,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-Wildlife-011.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-wildlife-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-wildlife-011_th.jpg
